Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,35-44 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,45-54 years,33,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,55-64 years,82,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,65-74 years,146,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,75-84 years,154,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,85 years and over,179,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,All ages,614,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama Total,All,All Ages,1265,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,45-54 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,55-64 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,65-74 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,75-84 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Male,All ages,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,65-74 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,75-84 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,85 years and over,0,,,,,,,,,,,,,,,,,,,,,,,,
