Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,45-54 years,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,55-64 years,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,65-74 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,75-84 years,65,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,85 years and over,128,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,All ages,275,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware Total,All,All Ages,517,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,35-44 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,45-54 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,55-64 years,67,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,65-74 years,117,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,75-84 years,78,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,85 years and over,56,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Male,All ages,379,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,45-54 years,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,55-64 years,41,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,65-74 years,61,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,75-84 years,56,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,85 years and over,81,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Female,All ages,265,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,District of Columbia Total,All,All Ages,644,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,25-34 years,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,35-44 years,62,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,45-54 years,136,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,55-64 years,280,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,65-74 years,550,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,75-84 years,699,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,85 years and over,616,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Male,All ages,2368,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,25-34 years,11,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,35-44 years,27,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,45-54 years,56,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,55-64 years,148,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,65-74 years,339,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,75-84 years,540,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,85 years and over,847,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Female,All ages,1973,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Florida Total,All,All Ages,4341,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,25-34 years,22,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,35-44 years,19,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,45-54 years,100,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,55-64 years,198,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,65-74 years,352,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,75-84 years,377,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,85 years and over,245,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Male,All ages,1315,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,35-44 years,23,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,45-54 years,58,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,55-64 years,135,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,65-74 years,243,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,75-84 years,346,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,85 years and over,416,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Female,All ages,1232,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Georgia Total,All,All Ages,2547,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,65-74 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,75-84 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Male,All ages,12,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,55-64 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,65-74 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,75-84 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Female,All ages,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Hawaii Total,All,All Ages,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,45-54 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,65-74 years,14,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,75-84 years,21,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,85 years and over,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Male,All ages,56,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,35-44 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,45-54 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,65-74 years,11,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,75-84 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,85 years and over,30,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Female,All ages,58,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Idaho Total,All,All Ages,114,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,25-34 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,35-44 years,117,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,45-54 years,279,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,55-64 years,566,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,65-74 years,930,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,75-84 years,939,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,85 years and over,771,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Male,All ages,3651,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,25-34 years,19,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,35-44 years,42,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,45-54 years,106,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,55-64 years,293,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,65-74 years,518,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,75-84 years,731,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,85 years and over,1286,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Female,All ages,3001,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Illinois Total,All,All Ages,6652,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,1-4 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,35-44 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,45-54 years,49,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,55-64 years,166,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,65-74 years,365,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,75-84 years,393,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,85 years and over,380,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Male,All ages,1377,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,35-44 years,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,45-54 years,32,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,55-64 years,99,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,65-74 years,215,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,75-84 years,394,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,85 years and over,598,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Female,All ages,1356,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Indiana Total,All,All Ages,2733,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,45-54 years,24,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,55-64 years,62,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,65-74 years,105,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,75-84 years,99,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,85 years and over,122,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Male,All ages,424,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,55-64 years,42,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,65-74 years,70,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,75-84 years,85,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,85 years and over,153,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Female,All ages,370,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Iowa Total,All,All Ages,794,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,45-54 years,14,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,55-64 years,32,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,65-74 years,32,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,75-84 years,43,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,85 years and over,41,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Male,All ages,168,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,55-64 years,17,,,,,,,,,,,,,,,,,,,,,,,,
