Population,Median Household Income,Per Capita Income,Zipcode,Population density
8406.0,6878.0,7597.0,00913,2.5763593875578746e-05
26131.0,13839.0,9526.0,00915,8.008904015735764e-05
18212.0,14307.0,13838.0,00917,5.581805515846302e-05
16063.0,23434.0,21307.0,00918,4.9231573688249036e-05
16809.0,25841.0,15060.0,00920,5.15179930352847e-05
33394.0,19358.0,13323.0,00921,0.00010234944728540051
24028.0,14241.0,11039.0,00923,7.364354433052655e-05
49508.0,18832.0,13159.0,00924,0.0001517373311434871
6924.0,9468.0,11992.0,00925,2.1221404234416755e-05
96530.0,34781.0,23190.0,00926,0.000295855307733716
13351.0,33502.0,24936.0,00927,4.091955053924005e-05
79.0,-666666666.0,16956.0,00934,2.4212751798366895e-07
812.0,-666666666.0,7132.0,00936,2.4887030962372046e-06
73891.0,26392.0,13582.0,00949,0.0002264689168522947
0.0,-666666666.0,-666666666.0,00950,0.0
0.0,-666666666.0,-666666666.0,00951,0.0
8156.0,14911.0,8660.0,00952,2.4997367552845616e-05
71891.0,29146.0,14447.0,00953,0.00022033910627042966
65355.0,23149.0,12448.0,00956,0.0002003068852888947
38915.0,24612.0,13557.0,00957,0.00011927078939663895
47459.0,30049.0,16146.0,00959,0.00014545734020236637
2221.0,-666666666.0,3069.0,00960,6.807154651161123e-06
30784.0,29197.0,16745.0,00961,9.435004447606664e-05
19593.0,16062.0,10157.0,00962,6.005068936524083e-05
7314.0,14821.0,12174.0,00965,2.241671729788044e-05
15710.0,47315.0,32873.0,00966,4.814966212054986e-05
3554.0,48175.0,41571.0,00968,1.089267340397417e-05
42525.0,51910.0,28160.0,00969,0.00013033509749690533
26640.0,20608.0,14381.0,00971,8.164907695044228e-05
58893.0,31304.0,16454.0,00976,0.00018050146729888878
15897.0,36270.0,30954.0,00979,4.872279940995424e-05
14241.0,24970.0,13553.0,00982,4.364731624816999e-05
34798.0,26259.0,13801.0,00983,0.00010665257431386977
31845.0,25338.0,13550.0,00985,9.760190898974604e-05
57181.0,33042.0,16641.0,00987,0.00017525434944081232
17621.0,62144.0,35135.0,01001,5.4006696131521904e-05
30066.0,55858.0,29499.0,01002,9.214944247717709e-05
11238.0,2499.0,4590.0,01003,3.444340565949964e-05
4991.0,68278.0,35190.0,01005,1.52969423070442e-05
14967.0,93300.0,42021.0,01007,4.5872437489387e-05
1197.0,75250.0,36847.0,01008,3.668691633246224e-06
249.0,81250.0,32651.0,01009,7.63161417442197e-07
3739.0,84471.0,38489.0,01010,1.1459680882796686e-05
1448.0,64904.0,30923.0,01011,4.437982861270287e-06
560.0,64091.0,37325.0,01012,1.7163469629222102e-06
23065.0,40594.0,23656.0,01013,7.069204053535854e-05
30097.0,58226.0,30280.0,01020,9.2244454541196e-05
2499.0,41863.0,24254.0,01022,7.659198322040364e-06
954.0,55268.0,32310.0,01026,2.923919647549622e-06
17848.0,62772.0,37036.0,01027,5.470242963256358e-05
16200.0,88442.0,39074.0,01028,4.9651465713106794e-05
651.0,72813.0,36045.0,01029,1.9952533443970695e-06
11123.0,74139.0,36883.0,01030,3.40909415510424e-05
1197.0,42188.0,27298.0,01031,3.668691633246224e-06
533.0,80500.0,34264.0,01032,1.6335945200670322e-06
6333.0,95987.0,42852.0,01033,1.9410045207475637e-05
2179.0,84926.0,37270.0,01034,6.678428628941957e-06
5310.0,64276.0,43529.0,01035,1.627464709485167e-05
5191.0,85943.0,40873.0,01036,1.59099233652307e-05
798.0,96302.0,36432.0,01037,2.4457944221641493e-06
2867.0,66818.0,38827.0,01038,8.787083469103529e-06
1042.0,77679.0,48914.0,01039,3.193631313151684e-06
40376.0,40656.0,23385.0,01040,0.00012374861602669135
2422.0,63427.0,32499.0,01050,7.423200614638559e-06
1702.0,59074.0,31903.0,01053,5.216468805167146e-06
1983.0,91500.0,48512.0,01054,6.077707191919184e-06
21336.0,72040.0,32772.0,01056,6.53928192873362e-05
8745.0,82444.0,38217.0,01057,2.6802596769204872e-05
15779.0,60020.0,36203.0,01060,4.8361140585624203e-05
10495.0,73954.0,38324.0,01062,3.216618102833678e-05
592.0,-666666666.0,3532.0,01063,1.8144239322320508e-06
9.0,-666666666.0,,01066,2.7584147618392663e-08
1840.0,84375.0,36408.0,01068,5.639425735315834e-06
8698.0,63398.0,32269.0,01069,2.6658546220531043e-05
604.0,53750.0,30898.0,01070,1.851202795723241e-06
1270.0,75491.0,33627.0,01071,3.892429719484298e-06
