Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Lat,Lon
672,689,2020-04-01,17,0.0247,0,Minnesota,MN,45.6945,-93.9002
1051,1073,2020-04-01,22,0.0205,0,Mississippi,MS,32.7416,-89.6787
1595,1613,2020-04-01,18,0.0112,0,Missouri,MO,38.4561,-92.2884
202,208,2020-04-01,6,0.0288,0,Montana,MT,46.9219,-110.4544
206,210,2020-04-01,4,0.019,0,Nebraska,NE,41.1254,-98.2681
1248,1279,2020-04-01,31,0.0242,0,Nevada,NV,38.3135,-117.0554
364,367,2020-04-01,3,0.0082,0,New Hampshire,NH,43.4525,-71.5639
21900,22255,2020-04-01,355,0.016,0,New Jersey,NJ,40.2989,-74.5210
335,340,2020-04-01,5,0.0147,0,New Mexico,NM,34.8405,-106.2485
82007,83948,2020-04-01,1941,0.0231,0,New York,NY,42.1657,-74.9481
1661,1675,2020-04-01,14,0.0084,0,North Carolina,NC,35.6301,-79.8064
139,142,2020-04-01,3,0.0211,0,North Dakota,ND,47.5289,-99.7840
2482,2547,2020-04-01,65,0.0255,0,Ohio,OH,40.3888,-82.7649
691,721,2020-04-01,30,0.0416,0,Oklahoma,OK,35.5653,-96.9289
717,736,2020-04-01,19,0.0258,0,Oregon,OR,44.5720,-122.0709
5935,6009,2020-04-01,74,0.0123,0,Pennsylvania,PA,40.5908,-77.2098
556,566,2020-04-01,10,0.0177,0,Rhode Island,RI,41.6809,-71.5118
1267,1293,2020-04-01,26,0.0201,0,South Carolina,SC,33.8569,-80.9450
127,129,2020-04-01,2,0.0155,0,South Dakota,SD,44.2998,-99.4388
2909,2933,2020-04-01,24,0.0082,0,Tennessee,TN,35.7478,-86.6923
4289,4355,2020-04-01,66,0.0152,0,Texas,TX,31.0545,-97.5635
883,888,2020-04-01,5,0.0056,0,Utah,UT,40.1500,-111.8624
305,321,2020-04-01,16,0.0498,0,Vermont,VT,44.0459,-72.7107
1449,1483,2020-04-01,34,0.0229,0,Virginia,VA,37.7693,-78.1700
5374,5608,2020-04-01,234,0.0417,0,Washington,WA,47.4009,-121.4905
190,191,2020-04-01,1,0.0052,0,West Virginia,WV,38.4912,-80.9545
1529,1556,2020-04-01,27,0.0174,0,Wisconsin,WI,44.2685,-89.6165
130,130,2020-04-01,0,0,0,Wyoming,WY,42.7560,-107.3025
3957,4075,2020-04-15,118,0.029,0,Alabama,AL,32.3182,-86.9023
284,293,2020-04-15,9,0.0307,0,Alaska,AK,61.3707,-152.4044
3822,3964,2020-04-15,142,0.0358,0,Arizona,AZ,33.7298,-111.4312
1536,1569,2020-04-15,33,0.021,0,Arkansas,AR,34.9697,-92.3731
25826,26686,2020-04-15,860,0.0322,0,California,CA,36.1162,-119.6816
7628,7956,2020-04-15,328,0.0412,0,Colorado,CO,39.0598,-105.3111
13887,14755,2020-04-15,868,0.0588,0,Connecticut,CT,41.5978,-72.7554
1968,2014,2020-04-15,46,0.0228,0,Delaware,DE,39.3185,-75.5071
21915,22511,2020-04-15,596,0.0265,0,Florida,FL,27.7663,-81.6868
14435,14987,2020-04-15,552,0.0368,0,Georgia,GA,33.0406,-83.6431
515,524,2020-04-15,9,0.0172,0,Hawaii,HI,21.0943,-157.4983
1434,1473,2020-04-15,39,0.0265,0,Idaho,ID,44.2405,-114.4788
23644,24593,2020-04-15,949,0.0386,0,Illinois,IL,40.3495,-88.9861
8524,8960,2020-04-15,436,0.0487,0,Indiana,IN,39.8494,-86.2583
1942,1995,2020-04-15,53,0.0266,0,Iowa,IA,42.0115,-93.2105
