Zip Code,State,County,Median Household Income,Land Area in Square Miles
01036,MA,Hampden County,81130.0,19.51
01037,MA,Worcester County,84444.0,13.28
01038,MA,Hampshire County,61603.0,10.0
01039,MA,Hampshire County,72188.0,13.21
01040,MA,Hampden County,31628.0,21.28
01050,MA,Hampshire County,56184.0,38.33
01053,MA,Hampshire County,64896.0,5.13
01054,MA,Franklin County,73000.0,22.81
01056,MA,Hampden County,61073.0,27.2
01057,MA,Hampden County,64747.0,44.91
01060,MA,Hampshire County,52607.0,10.92
01062,MA,Hampshire County,65756.0,18.15
01063,MA,Hampshire County,,0.04
01066,MA,Hampshire County,,0.71
01068,MA,Worcester County,85556.0,20.83
01069,MA,Hampden County,53417.0,28.07
01070,MA,Hampshire County,63889.0,20.54
01071,MA,Hampden County,75363.0,15.58
01072,MA,Franklin County,66705.0,20.09
01073,MA,Hampshire County,80000.0,28.15
01074,MA,Worcester County,,0.09
01075,MA,Hampshire County,61431.0,17.72
01077,MA,Hampden County,78476.0,30.82
01079,MA,Hampden County,34906.0,1.13
01080,MA,Hampden County,40559.0,1.73
01081,MA,Hampden County,56726.0,14.5
01082,MA,Hampshire County,51717.0,46.1
01083,MA,Worcester County,39521.0,15.78
01084,MA,Hampshire County,51667.0,9.2
01085,MA,Hampden County,59881.0,59.95
01086,MA,Hampden County,,0.04
01088,MA,Hampshire County,43234.0,5.2
01089,MA,Hampden County,54126.0,16.71
01092,MA,Worcester County,55370.0,6.7
01093,MA,Franklin County,83750.0,5.04
01094,MA,Worcester County,18241.0,1.14
01095,MA,Hampden County,86667.0,22.61
01096,MA,Hampshire County,65365.0,31.68
01097,MA,Hampden County,42031.0,1.71
01098,MA,Hampshire County,69079.0,31.35
01103,MA,Hampden County,14133.0,0.46
01104,MA,Hampden County,32273.0,5.22
01105,MA,Hampden County,18402.0,1.24
01106,MA,Hampden County,103472.0,9.3
01107,MA,Hampden County,21737.0,1.51
01108,MA,Hampden County,34064.0,3.72
01109,MA,Hampden County,33376.0,5.44
01118,MA,Hampden County,62283.0,3.6
01119,MA,Hampden County,46055.0,3.55
01128,MA,Hampden County,78864.0,1.12
01129,MA,Hampden County,61435.0,3.42
01151,MA,Hampden County,30043.0,2.37
01199,MA,Hampden County,,0.0
01201,MA,Berkshire County,42633.0,52.92
01220,MA,Berkshire County,40443.0,24.59
01222,MA,Berkshire County,75598.0,3.31
01223,MA,Berkshire County,54904.0,69.75
01224,MA,Berkshire County,90223.0,0.28
01225,MA,Berkshire County,49788.0,25.11
01226,MA,Berkshire County,51827.0,26.38
01229,MA,Berkshire County,68125.0,0.73
01230,MA,Berkshire County,51467.0,91.52
01235,MA,Berkshire County,64420.0,45.64
01236,MA,Berkshire County,51964.0,4.8
01237,MA,Berkshire County,71932.0,61.82
01238,MA,Berkshire County,59477.0,34.83
01240,MA,Berkshire County,51464.0,21.38
01242,MA,Berkshire County,55167.0,0.5
01243,MA,Hampshire County,67411.0,18.65
01244,MA,Berkshire County,29125.0,2.45
01245,MA,Berkshire County,52500.0,27.98
01247,MA,Berkshire County,41103.0,52.52
01253,MA,Berkshire County,67917.0,18.27
01254,MA,Berkshire County,95125.0,14.56
01255,MA,Berkshire County,55917.0,51.81
01256,MA,Berkshire County,56500.0,35.85
01257,MA,Berkshire County,50543.0,36.24
01258,MA,Berkshire County,56607.0,25.81
01259,MA,Berkshire County,70074.0,25.33
01260,MA,Berkshire County,74615.0,2.51
01262,MA,Berkshire County,41648.0,12.03
01264,MA,Berkshire County,70625.0,11.36
01266,MA,Berkshire County,76953.0,26.05
01267,MA,Berkshire County,72352.0,54.55
01270,MA,Berkshire County,68456.0,31.86
01301,MA,Franklin County,48319.0,25.49
01330,MA,Franklin County,72560.0,33.33
