Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Active Diff,Confirmed Diff,Deaths Diff,Recovered Diff,Lat,Lon
7112,7444,2020-05-15,332,0.0446,0,Kentucky,KY,215,219,4,0,37.6681,-84.6701
31389,33837,2020-05-15,2448,0.0723,0,Louisiana,LA,317,348,31,0,31.1695,-91.8678
1534,1603,2020-05-15,69,0.043,0,Maine,ME,38,38,0,0,44.6939,-69.3819
35075,36986,2020-05-15,1911,0.0517,0,Maryland,MD,1038,1083,45,0,39.0639,-76.8021
77829,83421,2020-05-15,5592,0.067,0,Massachusetts,MA,1129,1239,110,0,42.2302,-71.5301
45254,50079,2020-05-15,4825,0.0963,0,Michigan,MI,459,497,38,0,43.3266,-84.5361
13548,14240,2020-05-15,692,0.0486,0,Minnesota,MN,785,805,20,0,45.6945,-93.9002
10308,10801,2020-05-15,493,0.0456,0,Mississippi,MS,305,318,13,0,32.7416,-89.6787
10185,10766,2020-05-15,581,0.054,0,Missouri,MO,157,172,15,0,38.4561,-92.2884
450,466,2020-05-15,16,0.0343,0,Montana,MT,4,4,0,0,46.9219,-110.4544
9497,9610,2020-05-15,113,0.0118,0,Nebraska,NE,340,350,10,0,41.1254,-98.2681
6390,6733,2020-05-15,343,0.0509,0,Nevada,NV,219,229,10,0,38.3135,-117.0554
3302,3453,2020-05-15,151,0.0437,0,New Hampshire,NH,71,71,0,0,43.4525,-71.5639
133836,143984,2020-05-15,10148,0.0705,0,New Jersey,NJ,1078,1280,202,0,40.2989,-74.5210
5409,5662,2020-05-15,253,0.0447,0,New Mexico,NM,148,159,11,0,34.8405,-106.2485
317935,345813,2020-05-15,27878,0.0806,0,New York,NY,2525,2762,237,0,42.1657,-74.9481
16827,17494,2020-05-15,667,0.0381,0,North Carolina,NC,500,526,26,0,35.6301,-79.8064
1719,1761,2020-05-15,42,0.0239,0,North Dakota,ND,47,49,2,0,47.5289,-99.7840
25373,26954,2020-05-15,1581,0.0587,0,Ohio,OH,550,597,47,0,40.3888,-82.7649
4802,5087,2020-05-15,285,0.056,0,Oklahoma,OK,123,124,1,0,35.5653,-96.9289
3404,3541,2020-05-15,137,0.0387,0,Oregon,OR,62,62,0,0,44.5720,-122.0709
59714,64136,2020-05-15,4422,0.0689,0,Pennsylvania,PA,897,1031,134,0,40.5908,-77.2098
11740,12219,2020-05-15,479,0.0392,0,Rhode Island,RI,192,203,11,0,41.6809,-71.5118
8027,8407,2020-05-15,380,0.0452,0,South Carolina,SC,209,218,9,0,33.8569,-80.9450
3843,3887,2020-05-15,44,0.0113,0,South Dakota,SD,94,95,1,0,44.2998,-99.4388
16670,16960,2020-05-15,290,0.0171,0,Tennessee,TN,258,261,3,0,35.7478,-86.6923
44441,45721,2020-05-15,1280,0.028,0,Texas,TX,1196,1241,45,0,31.0545,-97.5635
6836,6913,2020-05-15,77,0.0111,0,Utah,UT,162,164,2,0,40.1500,-111.8624
880,933,2020-05-15,53,0.0568,0,Vermont,VT,1,1,0,0,44.0459,-72.7107
27694,28672,2020-05-15,978,0.0341,0,Virginia,VA,837,859,22,0,37.7693,-78.1700
16960,17951,2020-05-15,991,0.0552,0,Washington,WA,170,178,8,0,47.4009,-121.4905
1383,1447,2020-05-15,64,0.0442,0,West Virginia,WV,16,20,4,0,38.4912,-80.9545
11240,11685,2020-05-15,445,0.0381,0,Wisconsin,WI,399,410,11,0,44.2685,-89.6165
709,716,2020-05-15,7,0.0098,0,Wyoming,WY,15,15,0,0,42.7560,-107.3025
17984,18630,2020-06-01,646,0.0347,0,Alabama,AL,662,678,16,0,32.3182,-86.9023
456,466,2020-06-01,10,0.0215,0,Alaska,AK,7,7,0,0,61.3707,-152.4044
19211,20129,2020-06-01,918,0.0456,0,Arizona,AZ,182,193,11,0,33.7298,-111.4312
7310,7443,2020-06-01,133,0.0179,0,Arkansas,AR,190,190,0,0,34.9697,-92.3731
110516,114733,2020-06-01,4217,0.0368,0,California,CA,2737,2782,45,0,36.1162,-119.6816
25105,26563,2020-06-01,1458,0.0549,0,Colorado,CO,186,199,13,0,39.0598,-105.3111
38770,42740,2020-06-01,3970,0.0929,0,Connecticut,CT,513,539,26,0,41.5978,-72.7554
9237,9605,2020-06-01,368,0.0383,0,Delaware,DE,105,107,2,0,39.3185,-75.5071
54370,56830,2020-06-01,2460,0.0433,0,Florida,FL,658,667,9,0,27.7663,-81.6868
45808,47902,2020-06-01,2094,0.0437,0,Georgia,GA,798,839,41,0,33.0406,-83.6431
635,652,2020-06-01,17,0.0261,0,Hawaii,HI,0,0,0,0,21.0943,-157.4983
2757,2839,2020-06-01,82,0.0289,0,Idaho,ID,0,0,0,0,44.2405,-114.4788
115822,121234,2020-06-01,5412,0.0446,0,Illinois,IL,952,974,22,0,40.3495,-88.9861
32687,34830,2020-06-01,2143,0.0615,0,Indiana,IN,247,256,9,0,39.8494,-86.2583
19144,19699,2020-06-01,555,0.0282,0,Iowa,IA,127,147,20,0,42.0115,-93.2105
9703,9920,2020-06-01,217,0.0219,0,Kansas,KS,218,220,2,0,38.5266,-96.7265
9607,10046,2020-06-01,439,0.0437,0,Kentucky,KY,334,342,8,0,37.6681,-84.6701
37540,40341,2020-06-01,2801,0.0694,0,Louisiana,LA,415,425,10,0,31.1695,-91.8678
2260,2349,2020-06-01,89,0.0379,0,Maine,ME,24,24,0,0,44.6939,-69.3819
50775,53327,2020-06-01,2552,0.0479,0,Maryland,MD,529,549,20,0,39.0639,-76.8021
93770,100805,2020-06-01,7035,0.0698,0,Massachusetts,MA,3651,3840,189,0,42.2302,-71.5301
52016,57532,2020-06-01,5516,0.0959,0,Michigan,MI,110,135,25,0,43.3266,-84.5361
24148,25208,2020-06-01,1060,0.0421,0,Minnesota,MN,348,358,10,0,45.6945,-93.9002
15013,15752,2020-06-01,739,0.0469,0,Mississippi,MS,224,229,5,0,32.7416,-89.6787
12948,13724,2020-06-01,776,0.0565,0,Missouri,MO,286,286,0,0,38.4561,-92.2884
502,519,2020-06-01,17,0.0328,0,Montana,MT,4,4,0,0,46.9219,-110.4544
14175,14345,2020-06-01,170,0.0119,0,Nebraska,NE,244,244,0,0,41.1254,-98.2681
8285,8702,2020-06-01,417,0.0479,0,Nevada,NV,74,74,0,0,38.3135,-117.0554
4440,4685,2020-06-01,245,0.0523,0,New Hampshire,NH,34,34,0,0,43.4525,-71.5639
149195,160918,2020-06-01,11723,0.0729,0,New Jersey,NJ,448,473,25,0,40.2989,-74.5210
7438,7800,2020-06-01,362,0.0464,0,New Mexico,NM,105,111,6,0,34.8405,-106.2485
341794,371711,2020-06-01,29917,0.0805,0,New York,NY,808,941,133,0,42.1657,-74.9481
28644,29592,2020-06-01,948,0.032,0,North Carolina,NC,796,807,11,0,35.6301,-79.8064
2564,2625,2020-06-01,61,0.0232,0,North Dakota,ND,48,48,0,0,47.5289,-99.7840
