Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
6002,6258,2020-05-01,256,0.0409,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
8027,8407,2020-05-15,380,0.0452,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
11648,12148,2020-06-01,500,0.0412,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
18776,19378,2020-06-15,602,0.0311,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
37153,37919,2020-07-01,766,0.0202,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
61247,62245,2020-07-15,998,0.016,0,South Carolina,SC,29922.970000000016,4922493.0,164.50549527670543,28111.101308625526,42416.5
8,9,2020-03-15,1,0.1111,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
127,129,2020-04-01,2,0.0155,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
1162,1168,2020-04-15,6,0.0051,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
2504,2525,2020-05-01,21,0.0083,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
3843,3887,2020-05-15,44,0.0113,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
4972,5034,2020-06-01,62,0.0123,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
5853,5928,2020-06-15,75,0.0127,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
6733,6826,2020-07-01,93,0.0136,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
7541,7652,2020-07-15,111,0.0145,0,South Dakota,SD,74077.53,859766.0,11.60629950809645,29856.742967272487,56250.0
39,39,2020-03-15,0,0.0,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
2909,2933,2020-04-01,24,0.0082,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
5703,5827,2020-04-15,124,0.0213,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
11687,11891,2020-05-01,204,0.0172,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
16670,16960,2020-05-15,290,0.0171,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
22202,22566,2020-06-01,364,0.0161,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
30522,31004,2020-06-15,482,0.0155,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
44706,45315,2020-07-01,609,0.0134,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
68278,69061,2020-07-15,783,0.0113,0,Tennessee,TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,43979.0
72,72,2020-03-15,0,0.0,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
4289,4355,2020-04-01,66,0.0152,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
15532,15907,2020-04-15,375,0.0236,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
28852,29692,2020-05-01,840,0.0283,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
44441,45721,2020-05-15,1280,0.027999999999999997,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
63910,65593,2020-06-01,1683,0.0257,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
88210,90211,2020-06-15,2001,0.0222,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
169865,172368,2020-07-01,2503,0.0145,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
286339,289837,2020-07-15,3498,0.0121,0,Texas,TX,222934.4499999997,27830255.0,124.83604485533769,30167.175478126235,52292.0
28,28,2020-03-15,0,0.0,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
883,888,2020-04-01,5,0.0056,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
2528,2548,2020-04-15,20,0.0078,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
4782,4828,2020-05-01,46,0.0095,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
6836,6913,2020-05-15,77,0.0111,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
9886,9999,2020-06-01,113,0.0113,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
14465,14608,2020-06-15,143,0.0098,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
22543,22716,2020-07-01,173,0.0076,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
30658,30891,2020-07-15,233,0.0075,0,Utah,UT,35538.05,3039870.0,85.53845807521795,28254.980671212914,61445.5
8,8,2020-03-15,0,0.0,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
305,321,2020-04-01,16,0.0498,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
730,759,2020-04-15,29,0.0382,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
829,879,2020-05-01,50,0.0569,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
880,933,2020-05-15,53,0.0568,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
928,983,2020-06-01,55,0.055999999999999994,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
1073,1128,2020-06-15,55,0.0488,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
1154,1210,2020-07-01,56,0.0463,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
