Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr
130,130,2020-04-01,0,0,0,Wyoming,WY
3957,4075,2020-04-15,118,0.029,0,Alabama,AL
284,293,2020-04-15,9,0.0307,0,Alaska,AK
3822,3964,2020-04-15,142,0.0358,0,Arizona,AZ
1536,1569,2020-04-15,33,0.021,0,Arkansas,AR
25826,26686,2020-04-15,860,0.0322,0,California,CA
7628,7956,2020-04-15,328,0.0412,0,Colorado,CO
13887,14755,2020-04-15,868,0.0588,0,Connecticut,CT
1968,2014,2020-04-15,46,0.0228,0,Delaware,DE
21915,22511,2020-04-15,596,0.0265,0,Florida,FL
14435,14987,2020-04-15,552,0.0368,0,Georgia,GA
515,524,2020-04-15,9,0.0172,0,Hawaii,HI
1434,1473,2020-04-15,39,0.0265,0,Idaho,ID
23644,24593,2020-04-15,949,0.0386,0,Illinois,IL
8524,8960,2020-04-15,436,0.0487,0,Indiana,IN
1942,1995,2020-04-15,53,0.0266,0,Iowa,IA
1433,1504,2020-04-15,71,0.0472,0,Kansas,KS
2095,2210,2020-04-15,115,0.052,0,Kentucky,KY
20848,21951,2020-04-15,1103,0.0502,0,Louisiana,LA
746,770,2020-04-15,24,0.0312,0,Maine,ME
9721,10032,2020-04-15,311,0.031,0,Maryland,MD
28810,29918,2020-04-15,1108,0.037,0,Massachusetts,MA
26138,28059,2020-04-15,1921,0.0685,0,Michigan,MI
1722,1809,2020-04-15,87,0.0481,0,Minnesota,MN
3238,3360,2020-04-15,122,0.0363,0,Mississippi,MS
4638,4791,2020-04-15,153,0.0319,0,Missouri,MO
397,404,2020-04-15,7,0.0173,0,Montana,MT
881,901,2020-04-15,20,0.0222,0,Nebraska,NE
3080,3211,2020-04-15,131,0.0408,0,Nevada,NV
1107,1139,2020-04-15,32,0.0281,0,New Hampshire,NH
67874,71030,2020-04-15,3156,0.0444,0,New Jersey,NJ
1448,1484,2020-04-15,36,0.0243,0,New Mexico,NM
202837,214454,2020-04-15,11617,0.0542,0,New York,NY
5210,5340,2020-04-15,130,0.0243,0,North Carolina,NC
356,365,2020-04-15,9,0.0247,0,North Dakota,ND
7432,7794,2020-04-15,362,0.0464,0,Ohio,OH
2140,2263,2020-04-15,123,0.0544,0,Oklahoma,OK
1605,1663,2020-04-15,58,0.0349,0,Oregon,OR
25974,26753,2020-04-15,779,0.0291,0,Pennsylvania,PA
3171,3251,2020-04-15,80,0.0246,0,Rhode Island,RI
3550,3656,2020-04-15,106,0.029,0,South Carolina,SC
1162,1168,2020-04-15,6,0.0051,0,South Dakota,SD
5703,5827,2020-04-15,124,0.0213,0,Tennessee,TN
